#separator:Tab
#html:true
#deck:biohack::languages::es-en
#columns:ID	Spanish	English	SpanishExample	EnglishExample	Grammar	SortKey	Tags	Checksum
#tags column:8
biohack:es-en:0133	besar	to kiss	Los novios se besaron cuando terminó la ceremonia.	The bride and groom kissed when the ceremony ended.	verb	besar	biohack es-en letter-b verb	2170b52dd7b6
biohack:es-en:0134	el beso	m. kiss	Como no puedo estar contigo, te mando un beso.	Since can't be with you, I send you a kiss.	masculine noun	beso	biohack es-en letter-b noun	4df425fbd619
biohack:es-en:0135	la biblioteca	f. library	Se puede aprender tanto en la biblioteca como en la escuela.	You can learn as much in the library as in school.	feminine noun	biblioteca	biohack es-en letter-b noun	59cb8963b390
biohack:es-en:0136	bien	well	Usted habla español muy bien.	You speak Spanish very well.		bien	biohack es-en letter-b	9c5ea0e41ccf
biohack:es-en:0137	bienvenido	welcome	¡Bienvenido a nuestra casa!	Welcome to our house!		bienvenido	biohack es-en letter-b	08ed98a84531
biohack:es-en:0138	el billete	m. ticket, bill	(bank note) ¿Cuánto cuesta un billete a Segovia?	How much is a ticket to Segovia?	masculine noun	billete	biohack es-en letter-b noun	6741fd85abc9
biohack:es-en:0139	la blusa	f. blouse	Tenemos blusas de algodón o de seda.	We have blouses of cotton or silk.	feminine noun	blusa	biohack es-en letter-b noun	d99c752c0d1f
biohack:es-en:0140	la boca	f. mouth	No abrió la boca para protestar.	He didn’t open his mouth to protest.	feminine noun	boca	biohack es-en letter-b noun	cc3100c94063
biohack:es-en:0141	la boda	f. wedding	Se celebró la boda en el hotel Ritz.	The wedding took place in the Ritz Hotel.	feminine noun	boda	biohack es-en letter-b noun	c576c76c6e0a
biohack:es-en:0142	el boleto	m. (Spanish America) ticket	Un boleto sencillo, por favor.	A one-way ticket, please.	masculine noun	boleto	biohack es-en letter-b noun	84e1f462fcb3
biohack:es-en:0143	la bolsa	f. bag, purse	Se le perdió la bolsa.	She lost her purse.	feminine noun	bolsa	biohack es-en letter-b noun	2c1d821a8c43
biohack:es-en:0144	el bolsillo	m. pocket	Andaba con las manos en los bolsillos.	He was walking with his hands in his pockets.	masculine noun	bolsillo	biohack es-en letter-b noun	baafd82debf8
biohack:es-en:0145	bonito	pretty	¡Qué bonita estás hoy!	How pretty you look today!		bonito	biohack es-en letter-b	8a19f33ab770
biohack:es-en:0146	borracho	drunk; drunkard	Si sigues bebiendo así, estarás borracho muy pronto.	If you keep on drinking like that, you'll be drunk very soon.		borracho	biohack es-en letter-b	5097e187bcd0
biohack:es-en:0147	el bosque	m. forest, woods	Cuidado con el fuego en el bosque.	Be careful with fire in the woods.	masculine noun	bosque	biohack es-en letter-b noun	5aef20e41bdb
biohack:es-en:0148	botar (Spanish America)	to throw out, discard	No bote esos papeles todavía.	Don't throw those papers out yet.	verb	botar (spanish america)	biohack es-en letter-b verb	fe3e4525d452
biohack:es-en:0149	la botella	f. bottle	Se me rompió la botella.	My bottle broke.	feminine noun	botella	biohack es-en letter-b noun	14c3546f7cbe
biohack:es-en:0150	el brazo	m. arm	Se lastimó el brazo levantando tanto peso.	He hurt his am lifting so much weight.	masculine noun	brazo	biohack es-en letter-b noun	db1609f6b43a
biohack:es-en:0151	breve	brief	Dígame, en breve, qué pasó.	Tell me, briefly, what happened.		breve	biohack es-en letter-b	3c067bb2395d
biohack:es-en:0152	la broma	f. joke, jest	Lo dijo en broma.	He said it as a joke.	feminine noun	broma	biohack es-en letter-b noun	093d938adf0f
biohack:es-en:0153	buen, bueno	good	Buenos días.	Hace buen tiempo hoy. Good morning. We have good weather today.		buen, bueno	biohack es-en letter-b	3484e5059ebf
biohack:es-en:0154	el bulto	m. package, bundle	Salió llevando un bulto de ropa.	He went out carrying a bundle of clothing.	masculine noun	bulto	biohack es-en letter-b noun	2b863b450691
biohack:es-en:0155	el buque	m. ship, boat	Es muy agradable cruzar el océano en buque.	It is very pleasant to cross the ocean by ship.	masculine noun	buque	biohack es-en letter-b noun	ac41c8282747
biohack:es-en:0156	buscar	to look for	Lo buscaron en todas partes pero no lo encontraron.	They looked for him everywhere but didn't find him.	verb	buscar	biohack es-en letter-b verb	a00a0cb4c4d5
biohack:es-en:0157	el caballero	m. gentleman, sir	Es un verdadero caballero.	He's a real gentleman.	masculine noun	caballero	biohack es-en letter-c noun	bcb5caa2d8fc
biohack:es-en:0158	caber	to fit in, to be room for	Caben ocho personas en este ascensor.	There's room for eight people in this elevator.	verb	caber	biohack es-en letter-c verb	f03f394aae6f
biohack:es-en:0159	la cabeza	f. head	Me duele la cabeza.	My head aches.	feminine noun	cabeza	biohack es-en letter-c noun	57e8d66649c2
biohack:es-en:0160	cada	each	Cada uno hace lo que quiere.	Each one does what he wishes.		cada	biohack es-en letter-c	6e3a0cf246cd
biohack:es-en:0161	caer	to fall	Se acercó y cayó de rodillas.	He approached and fell on his knees.	verb	caer	biohack es-en letter-c verb	eb4e2630f2f2
biohack:es-en:0162	la cafetería	f. bar with food service	Las cafeterías están llenas hacia las siete de la tarde.	The “bars” are full at about seven P.M.	feminine noun	cafeteria	biohack es-en letter-c noun	5cb25b2420a3
biohack:es-en:0163	la caja	f. box, cash register	Pague en la caja, por favor.	Pay at the register, please.	feminine noun	caja	biohack es-en letter-c noun	fc73121dc8c8
biohack:es-en:0164	cajero (-a)	cashier	La cajera le dará el descuento.	The cashier will give you the discount.		cajero (-a)	biohack es-en letter-c	f7d622e53b88
biohack:es-en:0165	el calcetín	m. sock	¿Dónde puedo comprar un par de calcetines?	Where can I buy a pair of socks?	masculine noun	calcetin	biohack es-en letter-c noun	77baa5887257
